Size,Random,Decrease,NearSorted
500,3,2,2
600,3,3,3
700,3,3,4
800,4,4,5
900,4,4,4
1000,6,5,5
1100,5,6,5
1200,6,6,6
1300,7,9,6
1400,9,7,7
1500,8,7,7
1600,8,8,8
1700,9,8,9
1800,9,9,9
1900,10,10,10
2000,10,10,10
2100,11,11,11
2200,12,11,11
2300,12,12,12
2400,13,12,12
2500,13,13,13
2600,14,13,14
2700,14,14,14
2800,15,15,15
2900,16,15,17
3000,18,17,19
3100,19,17,18
3200,20,19,18
3300,19,19,19
3400,19,18,21
3500,23,22,20
3600,22,21,20
3700,25,25,24
3800,25,21,25
3900,23,23,21
4000,24,26,23
4100,24,27,27
4200,25,25,25
4300,31,33,26
4400,29,28,28
4500,29,28,28
4600,30,29,33
4700,31,31,27
4800,30,29,29
4900,31,28,29
5000,29,30,32
5100,31,32,32
5200,33,31,34
5300,34,34,31
5400,35,35,32
5500,33,33,34
5600,37,33,37
5700,35,34,34
5800,38,40,33
5900,35,42,40
6000,36,34,39
6100,41,39,38
6200,42,39,39
6300,38,38,38
6400,39,41,39
6500,43,38,37
6600,40,40,40
6700,37,40,37
6800,43,41,44
6900,45,42,47
7000,41,39,40
7100,45,41,42
7200,45,48,46
7300,50,51,51
7400,48,47,51
7500,50,55,49
7600,48,48,47
7700,47,47,46
7800,47,50,48
7900,53,50,47
8000,50,49,51
8100,47,51,46
8200,52,47,51
8300,51,50,51
8400,50,50,52
8500,50,52,52
8600,49,51,56
8700,57,55,56
8800,53,57,51
8900,60,61,57
9000,53,58,55
9100,60,59,58
9200,63,61,65
9300,66,62,64
9400,61,64,64
9500,62,62,70
9600,83,93,82
9700,67,62,70
9800,62,66,59
9900,65,64,61
10000,61,71,68
