Points,Area
100,1.16666
600,0.95601
1100,0.883831
1600,0.941832
2100,0.999991
2600,1.00213
3100,0.969077
3600,0.991118
4100,0.967471
4600,1.03985
5100,1.03322
5600,0.993047
6100,0.918025
6600,0.889723
7100,0.951674
7600,0.892901
8100,0.942207
8600,0.933777
9100,0.960462
9600,0.94487
10100,0.930822
10600,0.969462
11100,0.960827
11600,0.916898
12100,0.964179
12600,0.998448
13100,0.91581
13600,0.916454
14100,0.965318
14600,0.922937
15100,0.987666
15600,0.952894
16100,0.957721
16600,0.935316
17100,0.929004
17600,0.970556
18100,0.964157
18600,0.948692
19100,0.93811
19600,0.94642
20100,0.975599
20600,0.943897
21100,0.967145
21600,0.929454
22100,0.909306
22600,0.926184
23100,0.94149
23600,0.952028
24100,0.95164
24600,0.949291
25100,0.950135
25600,0.938034
26100,0.952099
26600,0.933471
27100,0.977595
27600,0.939454
28100,0.938999
28600,0.927002
29100,0.966534
29600,0.94758
30100,0.953157
30600,0.925509
31100,0.923759
31600,0.923295
32100,0.944652
32600,0.963267
33100,0.914351
33600,0.938938
34100,0.967082
34600,0.935685
35100,0.93676
35600,0.945724
36100,0.952554
36600,0.940338
37100,0.949153
37600,0.949201
38100,0.933682
38600,0.957101
39100,0.958538
39600,0.92704
40100,0.949181
40600,0.94252
41100,0.943355
41600,0.957256
42100,0.93157
42600,0.948935
43100,0.961161
43600,0.909555
44100,0.92239
44600,0.946927
45100,0.971782
45600,0.952812
46100,0.950913
46600,0.944883
47100,0.939806
47600,0.957099
48100,0.946544
48600,0.925203
49100,0.926672
49600,0.963981
50100,0.940195
50600,0.948004
51100,0.922366
51600,0.957706
52100,0.946275
52600,0.948001
53100,0.931384
53600,0.951536
54100,0.942203
54600,0.941587
55100,0.939924
55600,0.923778
56100,0.949338
56600,0.965171
57100,0.950079
57600,0.945883
58100,0.969369
58600,0.942516
59100,0.950828
59600,0.916589
60100,0.953611
60600,0.958417
61100,0.94946
61600,0.947277
62100,0.946069
62600,0.931058
63100,0.948024
63600,0.940112
64100,0.96008
64600,0.948736
65100,0.936969
65600,0.928494
66100,0.938091
66600,0.941996
67100,0.935991
67600,0.95251
68100,0.951227
68600,0.949255
69100,0.956174
69600,0.950702
70100,0.943089
70600,0.972764
71100,0.942541
71600,0.957549
72100,0.946728
72600,0.966054
73100,0.948407
73600,0.943153
74100,0.969458
74600,0.926991
75100,0.951371
75600,0.934019
76100,0.951773
76600,0.925253
77100,0.930854
77600,0.942772
78100,0.946944
78600,0.943888
79100,0.957096
79600,0.942901
80100,0.925848
80600,0.941334
81100,0.963822
81600,0.943381
82100,0.943438
82600,0.962915
83100,0.939222
83600,0.943024
84100,0.960653
84600,0.933371
85100,0.964902
85600,0.931326
86100,0.945452
86600,0.939095
87100,0.946206
87600,0.952459
88100,0.954557
88600,0.949609
89100,0.970577
89600,0.946823
90100,0.95387
90600,0.935729
91100,0.950123
91600,0.951623
92100,0.939912
92600,0.96035
93100,0.949553
93600,0.964527
94100,0.937706
94600,0.947754
95100,0.942158
95600,0.94984
96100,0.954509
96600,0.93407
97100,0.932063
97600,0.938047
98100,0.942482
98600,0.944605
99100,0.941899
99600,0.944492
